packet_count,byte_count,duration_sec,duration_nsec,byte_rate,packet_rate,avg_pkt_size,label
13964,17568249.363338847,4.802857225639665,841095289,3112756.409230789,2474.1526374963705,1258.1100947678922,1
16423,18068997.912441693,1.2323344486727978,613608295,9788493.155800994,8896.808991661257,1100.2251666834131,1
277,164615.30833925374,1.185260448662222,809827741,82510.29162130618,138.84098028112604,594.2790914774503,0
8420,10697516.586639224,1.7272998688284025,479546681,4847422.031890268,3815.3989459098157,1270.48890577663,1
68,30486.66090420214,4.887505167779041,643647998,5511.809199720147,12.294000538750668,448.33324859120796,0
2189,2089102.4911154069,2.1685785941408726,508464061,780376.9906705029,817.6933586756053,954.3638607196925,1
19912,18475752.370848358,3.0569377536544464,461901618,5250524.510916122,5658.68398552049,927.8702476319986,1
293,223317.36218726772,5.054493267725887,926132539,37340.13285635129,48.99152855717683,762.1752975674666,0
365,48281.23799312428,4.468748522859245,791274835,9178.901823883545,69.39132683786214,132.27736436472406,0
17787,21292927.020089496,3.733054075301833,147697582,5486804.851329707,4583.39042812308,1197.106146066762,1
3585,4651585.433645415,2.564242430292963,265047041,1644082.5446961697,1267.1025840143827,1297.5133706123893,1
9989,9177773.087003144,1.8317666514727553,396360081,4119053.4421790866,4483.138169126626,918.7879754733351,1
465,346763.3157196446,9.455490474077703,976125790,33241.571290707674,44.57602620998179,745.7275606874077,0
234,104227.66046607163,1.7964325184672756,906976957,38554.15223328542,86.5573647364515,445.41735241910953,0
10529,12885551.077154772,2.554709158757928,372593431,4401851.425349348,3596.8266611176305,1223.8152794334478,1
10571,11264452.411896184,2.123738038749523,198743196,4850180.162213901,4551.597593915573,1065.599509213526,1
346,129167.71512005889,1.6709557931179373,622261376,56325.984673201245,150.87973553463556,373.31709572271353,0
7258,7398118.901325929,1.0220884684944096,907706759,3833628.975718545,3761.0208050019783,1019.3054424532831,1
280,208729.54202796592,7.941433120173512,648870905,24298.271797632897,32.59488828095864,745.4626500998783,0
15067,16551684.32427292,4.4524137035023745,272981039,3502709.34518961,3188.5166893001488,1098.5388149115895,1
12965,18570127.924501244,3.675365010654429,954405824,4011025.2942762207,2800.3545883859547,1432.3276455457958,1
19412,24008107.775531437,4.886848381556415,90053374,4823906.308523733,3900.418564286035,1236.7663185416977,1
2206,2551293.291899376,1.1617343581537254,109174313,2007456.0429140222,1735.7659524011294,1156.5246110151297,1
19247,24671694.71135639,1.8068768093415848,276406835,11842695.918228554,9238.780351526713,1281.8462467582683,1
426,216096.5346435391,7.259644777835147,171116174,29081.34658674097,57.329256419531625,507.2688606655848,0
179,90065.71969107148,3.059183489424602,836594930,23118.799375754537,45.947171714770654,503.16044520151667,0
11789,15090418.13130083,4.718790609370292,521669253,2879598.0749054607,2249.6117343922874,1280.042253906254,1
18157,25963931.796713937,1.8737617488673344,319309439,11839073.870631041,8279.25700745578,1429.968155351321,1
250,182763.2616859645,9.06482169931144,95057280,19952.584755623382,27.292937009828577,731.053046743858,0
11474,10374461.24742893,2.7084311545050253,46159303,3766244.5316192717,4165.410494594029,904.1712783187144,1
244,36282.890725769765,5.363469742230849,376304299,6321.309944457184,42.51038424984342,148.70037182692528,0
19879,26276288.330326345,1.6731641686917222,488035440,12158195.950365104,9198.13233356715,1321.8113753371067,1
19675,20679790.002218425,2.0156616557373788,911695234,7064321.42753652,6721.0800531277555,1051.0693774952185,1
19082,24152823.972602636,2.1393619775098704,11506305,11229336.621403173,8871.765953856093,1265.738600387938,1
7855,11350157.12056084,1.1322029316021935,776124029,5947700.449077748,4116.1709508737795,1444.9595315799922,1
7791,9596454.03417283,2.957811041110252,398129398,2859542.4168842225,2321.554908783065,1231.7358534427967,1
142,33966.16631419191,7.854576537958458,228233509,4202.271996602629,17.568147608941306,239.19835432529516,0
2197,2503030.38003041,3.529223322374318,285322750,656180.4032615678,575.9531955613539,1139.2946654667319,1
11339,13662579.557677805,4.341209982356952,841009615,2636433.9258502335,2188.0585696876187,1204.9192660444312,1
16243,14780361.6631651,3.3635717727529673,51939266,4327423.186593342,4755.657298630913,909.9526973567137,1
218,41208.79232708522,4.137993885625564,820071328,8311.466378827936,43.96876414632482,189.03115746369366,0
13111,12881722.25921887,3.0710054021099205,391127003,3720748.0107364305,3786.9724394852356,982.5125664875959,1
434,307806.3067318359,2.881644586639423,34109026,105566.63820891261,148.84659599448491,709.2311215019259,0
11208,13561473.041619318,1.6998197083837447,46510960,7765695.974503308,6418.028499936482,1209.9815347626086,1
9158,10105100.8958544,1.3724110712235968,426101858,5618586.740000078,5091.984522987796,1103.4178746292205,1
423,303055.792523467,8.619950280144753,128314487,34641.81761640691,48.3524460289121,716.4439539561868,0
132,23707.89279276187,8.658356038907614,638035365,2550.2253253662034,14.199057920960122,179.60524843001417,0
131,17696.651365433154,6.226179592928092,702234722,2554.2137870282404,18.90764524831388,135.08894172086377,0
385,179434.25659054038,3.555288772637191,824183605,40971.66076598218,87.91013318543064,466.0630041312737,0
7699,8025048.434782719,4.977829850443283,323839252,1513683.3853105549,1452.184180346507,1042.3494524980802,1
15446,20582782.841999035,2.4658751383314397,249369215,7580453.234989776,5688.6224553045095,1332.5639545512777,1
390,207045.59360844945,1.8430729104528323,1983509,112216.40239589564,211.37565002790427,530.8861374575627,0
5436,6479958.206092559,4.892042219009783,670439175,1164940.2033183973,977.2616958061217,1192.0452917756731,1
305,163899.8288102985,8.153301731874835,725523310,18459.630417009517,34.35139205486549,537.376487902618,0
9996,11990362.21519679,1.780971951192178,309255683,5736390.6299281,4782.254256179715,1199.5160279308514,1
10208,15278622.968531555,3.5818891836286713,944654493,3375339.7868262553,2255.142273939755,1496.7303064784046,1
118,72370.80333672218,9.233779511984036,872186916,7161.195700821153,11.676270729858237,613.3118926840863,0
200,96699.28543728407,4.8536573348558285,989266619,16549.810711376933,34.229437449381344,483.49642718642036,0
488,98221.79156901296,3.6500400286262713,79348896,26337.23474653584,130.85253639747518,201.27416305125607,0
3816,4338085.582406968,1.67797098674437,404642357,2083000.9542757664,1832.3132382985414,1136.8148800856834,1
